Date,bawang merah
2022-01-01,38.67563359519074
2022-01-02,48.17491202207969
2022-01-03,50.21047168498447
2022-01-04,44.10379269627014
2022-01-05,42.7467529210003
2022-01-06,35.96155404465104
2022-01-07,47.49639213444477
2022-01-08,47.49639213444477
2022-01-09,40.032673370460586
2022-01-10,44.10379269627014
2022-01-11,45.46083247154
2022-01-12,42.06823303336536
2022-01-13,35.28303415701611
2022-01-14,44.10379269627014
2022-01-15,47.49639213444477
2022-01-16,54.96011089842895
2022-01-17,48.853431909714615
2022-01-18,53.6030711231591
2022-01-19,52.24603134788924
2022-01-20,45.46083247154
2022-01-21,52.24603134788924
2022-01-22,43.42527280863522
2022-01-23,56.99567056133372
2022-01-24,65.13790921295282
2022-01-25,64.4593893253179
2022-01-26,60.38826999950836
2022-01-27,44.78231258390507
2022-01-28,50.21047168498447
2022-01-29,40.71119325809552
2022-01-30,52.24603134788924
2022-01-31,42.06823303336536
2022-02-01,44.78231258390507
2022-02-02,51.56751146025432
2022-02-03,54.96011089842895
2022-02-04,40.032673370460586
2022-02-05,40.032673370460586
2022-02-06,56.31715067369879
2022-02-07,54.28159101079401
2022-02-08,61.745309774778185
2022-02-09,56.99567056133372
2022-02-10,57.674190448968645
2022-02-11,60.38826999950836
2022-02-12,61.745309774778185
2022-02-13,43.42527280863522
2022-02-14,56.31715067369879
2022-02-15,53.6030711231591
2022-02-16,56.99567056133372
2022-02-17,63.10234955004805
2022-02-18,61.745309774778185
2022-02-19,37.99711370755581
2022-02-20,40.71119325809552
2022-02-21,60.38826999950836
2022-02-22,56.31715067369879
2022-02-23,51.56751146025432
2022-02-24,45.46083247154
2022-02-25,50.88899157261939
2022-02-26,42.06823303336536
2022-02-27,42.7467529210003
2022-02-28,46.13935235917492
2022-03-01,45.46083247154
2022-03-02,44.10379269627014
2022-03-03,40.71119325809552
2022-03-04,46.81787224680984
2022-03-05,32.56895460647641
2022-03-06,45.46083247154
2022-03-07,67.85198876349253
2022-03-08,63.10234955004805
2022-03-09,48.853431909714615
2022-03-10,63.78086943768298
2022-03-11,59.70975011187341
2022-03-12,44.78231258390507
2022-03-13,31.21191483120656
2022-03-14,65.13790921295282
2022-03-15,46.81787224680984
2022-03-16,48.17491202207969
2022-03-17,42.06823303336536
2022-03-18,48.17491202207969
2022-03-19,41.38971314573044
2022-03-20,42.06823303336536
2022-03-21,56.31715067369879
2022-03-22,54.96011089842895
2022-03-23,60.38826999950836
2022-03-24,65.13790921295282
2022-03-25,52.92455123552417
2022-03-26,46.81787224680984
2022-03-27,42.06823303336536
2022-03-28,60.38826999950836
2022-03-29,58.352710336603565
2022-03-30,47.49639213444477
2022-03-31,41.38971314573044
2022-04-01,31.89043471884149
2022-04-02,29.176355168301782
2022-04-03,31.89043471884149
2022-04-04,46.13935235917492
2022-04-05,49.531951797349535
2022-04-06,52.92455123552417
2022-04-07,44.10379269627014
2022-04-08,34.604514269381184
2022-04-09,44.78231258390507
2022-04-10,36.640073932285965
2022-04-11,35.96155404465104
2022-04-12,56.31715067369879
2022-04-13,46.13935235917492
2022-04-14,56.31715067369879
2022-04-15,27.140795505397005
2022-04-16,37.318593819920885
2022-04-17,40.71119325809552
2022-04-18,40.71119325809552
2022-04-19,38.67563359519074
2022-04-20,37.99711370755581
2022-04-21,37.99711370755581
2022-04-22,25.78375573012716
2022-04-23,33.925994381746264
2022-04-24,31.89043471884149
2022-04-25,28.49783528066686
2022-04-26,29.854875055936706
2022-04-27,34.604514269381184
2022-04-28,23.06967617958746
2022-04-29,34.604514269381184
2022-04-30,26.462275617762085
2022-05-01,27.81931539303194
2022-05-02,16.284477303238205
2022-05-03,22.391156291952534
2022-05-04,15.60595741560328
2022-05-05,23.748196067222384
2022-05-06,20.35559662904776
2022-05-07,31.21191483120656
2022-05-08,24.426715954857308
2022-05-09,23.06967617958746
2022-05-10,31.21191483120656
2022-05-11,27.81931539303194
2022-05-12,31.21191483120656
2022-05-13,44.78231258390507
2022-05-14,30.53339494357164
2022-05-15,37.318593819920885
2022-05-16,37.99711370755581
2022-05-17,43.42527280863522
2022-05-18,45.46083247154
2022-05-19,52.24603134788924
2022-05-20,28.49783528066686
2022-05-21,37.99711370755581
2022-05-22,42.7467529210003
2022-05-23,50.88899157261939
2022-05-24,64.4593893253179
2022-05-25,46.81787224680984
2022-05-26,44.10379269627014
2022-05-27,37.318593819920885
2022-05-28,33.925994381746264
2022-05-29,48.17491202207969
2022-05-30,46.13935235917492
2022-05-31,43.42527280863522
2022-06-01,39.35415348282567
2022-06-02,44.10379269627014
2022-06-03,33.24747449411134
2022-06-04,31.89043471884149
2022-06-05,37.99711370755581
2022-06-06,39.35415348282567
2022-06-07,57.674190448968645
2022-06-08,37.318593819920885
2022-06-09,46.13935235917492
2022-06-10,51.56751146025432
2022-06-11,39.35415348282567
2022-06-12,44.78231258390507
2022-06-13,40.032673370460586
2022-06-14,35.96155404465104
2022-06-15,42.7467529210003
2022-06-16,29.176355168301782
2022-06-17,45.46083247154
2022-06-18,37.99711370755581
2022-06-19,33.925994381746264
2022-06-20,43.42527280863522
2022-06-21,30.53339494357164
2022-06-22,34.604514269381184
2022-06-23,32.56895460647641
2022-06-24,39.35415348282567
2022-06-25,33.925994381746264
2022-06-26,52.92455123552417
2022-06-27,52.24603134788924
2022-06-28,52.24603134788924
2022-06-29,46.13935235917492
2022-06-30,42.06823303336536
2022-07-01,39.35415348282567
2022-07-02,22.391156291952534
2022-07-03,32.0
2022-07-04,46.00000000000001
2022-07-05,44.0
2022-07-06,40.0
2022-07-07,26.000000000000004
2022-07-08,38.00000000000001
2022-07-09,31.0
2022-07-10,33.0
2022-07-11,43.0
2022-07-12,51.00000000000001
2022-07-13,45.0
2022-07-14,38.00000000000001
2022-07-15,40.0
2022-07-16,45.0
2022-07-17,33.0
2022-07-18,51.00000000000001
2022-07-19,51.00000000000001
2022-07-20,59.00000000000001
2022-07-21,60.00000000000001
2022-07-22,53.0
2022-07-23,36.00000000000001
2022-07-24,56.0
2022-07-25,61.00000000000001
2022-07-26,72.00000000000001
2022-07-27,82.0
2022-07-28,83.00000000000001
2022-07-29,48.0
2022-07-30,44.0
2022-07-31,60.00000000000001
2022-08-01,65.0
2022-08-02,63.0
2022-08-03,71.0
2022-08-04,72.00000000000001
2022-08-05,66.0
2022-08-06,67.00000000000001
2022-08-07,51.00000000000001
2022-08-08,53.0
2022-08-09,66.0
2022-08-10,66.0
2022-08-11,78.0
2022-08-12,52.00000000000001
2022-08-13,37.00000000000001
2022-08-14,60.00000000000001
2022-08-15,52.00000000000001
