Date,tepung terigu
2022-01-01,32.0
2022-01-02,39.0
2022-01-03,26.0
2022-01-04,28.0
2022-01-05,44.0
2022-01-06,47.0
2022-01-07,26.0
2022-01-08,48.99999999999999
2022-01-09,35.0
2022-01-10,24.0
2022-01-11,54.00000000000001
2022-01-12,55.99999999999999
2022-01-13,45.0
2022-01-14,38.0
2022-01-15,31.0
2022-01-16,39.0
2022-01-17,58.00000000000001
2022-01-18,37.0
2022-01-19,41.99999999999999
2022-01-20,72.0
2022-01-21,54.00000000000001
2022-01-22,47.99999999999999
2022-01-23,53.0
2022-01-24,61.0
2022-01-25,59.0
2022-01-26,47.0
2022-01-27,71.0
2022-01-28,54.00000000000001
2022-01-29,54.00000000000001
2022-01-30,59.0
2022-01-31,48.99999999999999
2022-02-01,47.99999999999999
2022-02-02,45.0
2022-02-03,47.0
2022-02-04,38.0
2022-02-05,60.0
2022-02-06,73.0
2022-02-07,65.99999999999999
2022-02-08,67.0
2022-02-09,77.0
2022-02-10,39.0
2022-02-11,39.0
2022-02-12,47.99999999999999
2022-02-13,51.99999999999999
2022-02-14,53.0
2022-02-15,78.99999999999999
2022-02-16,69.0
2022-02-17,71.0
2022-02-18,70.0
2022-02-19,46.0
2022-02-20,55.99999999999999
2022-02-21,75.0
2022-02-22,75.0
2022-02-23,50.0
2022-02-24,61.0
2022-02-25,63.0
2022-02-26,56.99999999999999
2022-02-27,51.99999999999999
2022-02-28,67.0
2022-03-01,68.0
2022-03-02,47.99999999999999
2022-03-03,74.0
2022-03-04,61.0
2022-03-05,47.99999999999999
2022-03-06,48.99999999999999
2022-03-07,68.0
2022-03-08,77.0
2022-03-09,70.0
2022-03-10,93.0
2022-03-11,75.0
2022-03-12,63.0
2022-03-13,48.99999999999999
2022-03-14,64.0
2022-03-15,65.99999999999999
2022-03-16,73.0
2022-03-17,65.0
2022-03-18,78.0
2022-03-19,54.00000000000001
2022-03-20,53.0
2022-03-21,44.0
2022-03-22,51.99999999999999
2022-03-23,55.00000000000001
2022-03-24,58.00000000000001
2022-03-25,55.99999999999999
2022-03-26,40.0
2022-03-27,41.99999999999999
2022-03-28,40.99999999999999
2022-03-29,54.00000000000001
2022-03-30,47.99999999999999
2022-03-31,55.99999999999999
2022-04-01,40.0
2022-04-02,37.0
2022-04-03,55.99999999999999
2022-04-04,67.0
2022-04-05,78.99999999999999
2022-04-06,73.0
2022-04-07,71.0
2022-04-08,75.0
2022-04-09,65.99999999999999
2022-04-10,65.99999999999999
2022-04-11,44.0
2022-04-12,64.0
2022-04-13,100.0
2022-04-14,69.0
2022-04-15,53.0
2022-04-16,56.99999999999999
2022-04-17,68.0
2022-04-18,70.0
2022-04-19,58.00000000000001
2022-04-20,65.0
2022-04-21,73.0
2022-04-22,48.99999999999999
2022-04-23,60.0
2022-04-24,63.0
2022-04-25,56.99999999999999
2022-04-26,89.0
2022-04-27,90.0
2022-04-28,68.0
2022-04-29,74.0
2022-04-30,54.00000000000001
2022-05-01,38.0
2022-05-02,22.0
2022-05-03,0.0
2022-05-04,20.0
2022-05-05,21.0
2022-05-06,39.0
2022-05-07,24.0
2022-05-08,20.0
2022-05-09,32.0
2022-05-10,31.0
2022-05-11,37.0
2022-05-12,43.0
2022-05-13,31.0
2022-05-14,36.0
2022-05-15,32.0
2022-05-16,26.0
2022-05-17,40.0
2022-05-18,55.00000000000001
2022-05-19,58.00000000000001
2022-05-20,37.0
2022-05-21,39.0
2022-05-22,41.99999999999999
2022-05-23,63.0
2022-05-24,36.0
2022-05-25,36.0
2022-05-26,62.0
2022-05-27,24.0
2022-05-28,28.0
2022-05-29,41.99999999999999
2022-05-30,47.99999999999999
2022-05-31,51.0
2022-06-01,63.0
2022-06-02,48.99999999999999
2022-06-03,38.0
2022-06-04,36.0
2022-06-05,21.0
2022-06-06,45.0
2022-06-07,62.0
2022-06-08,46.0
2022-06-09,43.0
2022-06-10,53.0
2022-06-11,43.0
2022-06-12,41.99999999999999
2022-06-13,41.99999999999999
2022-06-14,45.0
2022-06-15,41.99999999999999
2022-06-16,44.0
2022-06-17,47.0
2022-06-18,35.0
2022-06-19,44.0
2022-06-20,43.0
2022-06-21,30.0
2022-06-22,31.0
2022-06-23,31.0
2022-06-24,47.99999999999999
2022-06-25,36.0
2022-06-26,43.0
2022-06-27,44.0
2022-06-28,48.99999999999999
2022-06-29,47.0
2022-06-30,45.0
2022-07-01,26.0
2022-07-02,29.000000000000004
2022-07-03,27.134678861863573
2022-07-04,32.41086641833705
2022-07-05,27.134678861863573
2022-07-06,36.1795718158181
2022-07-07,32.41086641833705
2022-07-08,39.94827721329916
2022-07-09,40.702018292795366
2022-07-10,27.888419941359786
2022-07-11,36.1795718158181
2022-07-12,21.10475022589389
2022-07-13,39.19453613380294
2022-07-14,46.73194692876505
2022-07-15,32.41086641833705
2022-07-16,54.26935772372715
2022-07-17,42.20950045178779
2022-07-18,57.284322041712
2022-07-19,45.978205849268846
2022-07-20,51.25439340574231
2022-07-21,43.71698261078021
2022-07-22,35.42583073632189
2022-07-23,28.642161020856
2022-07-24,25.627196702871156
2022-07-25,37.68705397481053
2022-07-26,39.94827721329916
2022-07-27,44.470723690276415
2022-07-28,48.239429087757465
2022-07-29,33.91834857732947
2022-07-30,42.96324153128399
2022-07-31,48.99317016725368
2022-08-01,54.26935772372715
2022-08-02,59.54554528020062
2022-08-03,61.80676851868927
2022-08-04,53.51561664423095
2022-08-05,37.68705397481053
2022-08-06,48.239429087757465
2022-08-07,33.91834857732947
2022-08-08,41.45575937229157
2022-08-09,75.37410794962105
2022-08-10,53.51561664423095
2022-08-11,48.239429087757465
2022-08-12,48.99317016725368
2022-08-13,48.239429087757465
2022-08-14,51.25439340574231
2022-08-15,44.470723690276415
2022-08-16,42.96324153128399
2022-08-17,39.94827721329916
2022-08-18,54.26935772372715
2022-08-19,48.99317016725368
2022-08-20,35.42583073632189
2022-08-21,39.19453613380294
2022-08-22,58.03806312120822
2022-08-23,49.746911246749896
2022-08-24,30.903384259344637
2022-08-25,42.96324153128399
2022-08-26,52.008134485238514
2022-08-27,43.71698261078021
