Date,cabai
2022-01-01,51.97518339574861
2022-01-02,0.0
2022-01-03,41.72655568391085
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,37.33428666455182
2022-01-08,0.0
2022-01-09,46.11882470326989
2022-01-10,35.87019699143214
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,37.33428666455182
2022-01-19,0.0
2022-01-20,37.33428666455182
2022-01-21,43.92269019359038
2022-01-22,43.92269019359038
2022-01-23,0.0
2022-01-24,56.36745241510764
2022-01-25,30.74588313551326
2022-01-26,35.87019699143214
2022-01-27,0.0
2022-01-28,32.942017645192784
2022-01-29,0.0
2022-01-30,40.26246601079117
2022-01-31,40.26246601079117
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,33.67406248175262
2022-02-05,0.0
2022-02-06,48.31495921294942
2022-02-07,36.60224182799198
2022-02-08,33.67406248175262
2022-02-09,38.7983763376715
2022-02-10,43.19064535703055
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,40.26246601079117
2022-02-14,40.99451084735101
2022-02-15,41.72655568391085
2022-02-16,47.58291437638957
2022-02-17,58.56358692478718
2022-02-18,42.458600520470696
2022-02-19,0.0
2022-02-20,45.38677986671005
2022-02-21,65.88403529038557
2022-02-22,43.92269019359038
2022-02-23,51.243138559188765
2022-02-24,32.942017645192784
2022-02-25,26.353614116154223
2022-02-26,30.01383829895342
2022-02-27,0.0
2022-02-28,45.38677986671005
2022-03-01,73.20448365598396
2022-03-02,41.72655568391085
2022-03-03,45.38677986671005
2022-03-04,51.243138559188765
2022-03-05,0.0
2022-03-06,37.33428666455182
2022-03-07,40.99451084735101
2022-03-08,32.942017645192784
2022-03-09,46.11882470326989
2022-03-10,35.87019699143214
2022-03-11,35.1381521548723
2022-03-12,35.87019699143214
2022-03-13,32.20997280863294
2022-03-14,40.99451084735101
2022-03-15,22.693389933355025
2022-03-16,32.20997280863294
2022-03-17,34.406107318312465
2022-03-18,35.1381521548723
2022-03-19,38.7983763376715
2022-03-20,43.19064535703055
2022-03-21,42.458600520470696
2022-03-22,28.549748625833743
2022-03-23,45.38677986671005
2022-03-24,43.19064535703055
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,39.530421174231336
2022-03-29,35.1381521548723
2022-03-30,0.0
2022-03-31,40.26246601079117
2022-04-01,46.85086953982974
2022-04-02,0.0
2022-04-03,27.085658952714063
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,25.621569279594382
2022-04-07,34.406107318312465
2022-04-08,0.0
2022-04-09,0.0
2022-04-10,39.530421174231336
2022-04-11,52.707228232308445
2022-04-12,28.549748625833743
2022-04-13,30.74588313551326
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,32.20997280863294
2022-04-17,29.28179346239359
2022-04-18,33.67406248175262
2022-04-19,32.20997280863294
2022-04-20,43.19064535703055
2022-04-21,27.8177037892739
2022-04-22,24.15747960647471
2022-04-23,32.942017645192784
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-07,36.60224182799198
2022-05-08,0.0
2022-05-09,36.60224182799198
2022-05-10,0.0
2022-05-11,34.406107318312465
2022-05-12,0.0
2022-05-13,29.28179346239359
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,36.60224182799198
2022-05-18,29.28179346239359
2022-05-19,0.0
2022-05-20,0.0
2022-05-21,0.0
2022-05-22,65.88403529038557
2022-05-23,26.353614116154223
2022-05-24,0.0
2022-05-25,26.353614116154223
2022-05-26,0.0
2022-05-27,27.085658952714063
2022-05-28,37.33428666455182
2022-05-29,36.60224182799198
2022-05-30,0.0
2022-05-31,0.0
2022-06-01,0.0
2022-06-02,0.0
2022-06-03,0.0
2022-06-04,0.0
2022-06-05,32.942017645192784
2022-06-06,37.33428666455182
2022-06-07,45.38677986671005
2022-06-08,0.0
2022-06-09,42.458600520470696
2022-06-10,38.7983763376715
2022-06-11,54.171317905428126
2022-06-12,39.530421174231336
2022-06-13,36.60224182799198
2022-06-14,39.530421174231336
2022-06-15,40.99451084735101
2022-06-16,40.26246601079117
2022-06-17,35.1381521548723
2022-06-18,0.0
2022-06-19,41.72655568391085
2022-06-20,0.0
2022-06-21,33.67406248175262
2022-06-22,35.1381521548723
2022-06-23,0.0
2022-06-24,31.477927972073097
2022-06-25,33.67406248175262
2022-06-26,0.0
2022-06-27,26.353614116154223
2022-06-28,44.65473503015021
