Date,cabai merah
2022-01-01,36.83863841751181
2022-01-02,64.25343910031128
2022-01-03,62.54001405763632
2022-01-04,66.82357666432374
2022-01-05,83.10111456973593
2022-01-06,52.259463801586506
2022-01-07,53.116176322924
2022-01-08,44.549051109549154
2022-01-09,53.97288884426147
2022-01-10,60.82658901496136
2022-01-11,60.82658901496136
2022-01-12,52.259463801586506
2022-01-13,53.97288884426147
2022-01-14,44.549051109549154
2022-01-15,31.698363289486903
2022-01-16,57.39973892961142
2022-01-17,61.68330153629882
2022-01-18,65.96686414298625
2022-01-19,55.686313886936446
2022-01-20,33.41178833216187
2022-01-21,51.40275128024902
2022-01-22,31.698363289486903
2022-01-23,47.1191886735616
2022-01-24,81.38768952706094
2022-01-25,66.82357666432374
2022-01-26,31.698363289486903
2022-01-27,43.69233858821168
2022-01-28,0.0
2022-01-29,40.26548850286174
2022-01-30,37.69535093884928
2022-01-31,66.82357666432374
2022-02-01,41.12220102419922
2022-02-02,48.83261371623657
2022-02-03,48.83261371623657
2022-02-04,33.41178833216187
2022-02-05,0.0
2022-02-06,39.40877598152426
2022-02-07,68.5370017069987
2022-02-08,41.97891354553671
2022-02-09,75.39070187769856
2022-02-10,47.97590119489909
2022-02-11,61.68330153629882
2022-02-12,43.69233858821168
2022-02-13,80.53097700572349
2022-02-14,47.97590119489909
2022-02-15,85.67125213374838
2022-02-16,74.53398935636108
2022-02-17,59.96987649362387
2022-02-18,57.39973892961142
2022-02-19,62.54001405763632
2022-02-20,54.82960136559896
2022-02-21,55.686313886936446
2022-02-22,64.25343910031128
2022-02-23,60.82658901496136
2022-02-24,53.97288884426147
2022-02-25,66.82357666432374
2022-02-26,40.26548850286174
2022-02-27,44.549051109549154
2022-02-28,46.26247615222413
2022-03-01,73.67727683502362
2022-03-02,53.97288884426147
2022-03-03,52.259463801586506
2022-03-04,71.10713927101116
2022-03-05,41.12220102419922
2022-03-06,62.54001405763632
2022-03-07,68.5370017069987
2022-03-08,64.25343910031128
2022-03-09,71.96385179234865
2022-03-10,63.396726578973805
2022-03-11,47.1191886735616
2022-03-12,51.40275128024902
2022-03-13,53.116176322924
2022-03-14,71.96385179234865
2022-03-15,54.82960136559896
2022-03-16,63.396726578973805
2022-03-17,85.67125213374838
2022-03-18,67.68028918566122
2022-03-19,80.53097700572349
2022-03-20,53.97288884426147
2022-03-21,76.24741439903606
2022-03-22,46.26247615222413
2022-03-23,80.53097700572349
2022-03-24,59.96987649362387
2022-03-25,59.96987649362387
2022-03-26,77.96083944171103
2022-03-27,43.69233858821168
2022-03-28,58.25645145094889
2022-03-29,77.10412692037355
2022-03-30,40.26548850286174
2022-03-31,59.11316397228639
2022-04-01,55.686313886936446
2022-04-02,53.97288884426147
2022-04-03,50.546038758911536
2022-04-04,30.84165076814941
2022-04-05,51.40275128024902
2022-04-06,64.25343910031128
2022-04-07,47.97590119489909
2022-04-08,67.68028918566122
2022-04-09,47.1191886735616
2022-04-10,56.54302640827393
2022-04-11,55.686313886936446
2022-04-12,46.26247615222413
2022-04-13,63.396726578973805
2022-04-14,36.83863841751181
2022-04-15,53.116176322924
2022-04-16,31.698363289486903
2022-04-17,46.26247615222413
2022-04-18,62.54001405763632
2022-04-19,42.83562606687419
2022-04-20,65.11015162164877
2022-04-21,50.546038758911536
2022-04-22,59.96987649362387
2022-04-23,40.26548850286174
2022-04-24,31.698363289486903
2022-04-25,49.68932623757407
2022-04-26,48.83261371623657
2022-04-27,50.546038758911536
2022-04-28,47.1191886735616
2022-04-29,32.555075810824384
2022-04-30,29.128225725474444
2022-05-01,38.55206346018677
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,36.83863841751181
2022-05-05,33.41178833216187
2022-05-06,40.26548850286174
2022-05-07,0.0
2022-05-08,28.27151320413697
