Date,telur ayam
2022-01-01,53.492269551498765
2022-01-02,72.53189091728646
2022-01-03,46.23908045977012
2022-01-04,63.46540455262564
2022-01-05,79.7850800090151
2022-01-06,78.87843137254902
2022-01-07,62.55875591615957
2022-01-08,70.7185936443543
2022-01-09,55.305566824430926
2022-01-10,76.15848546315078
2022-01-11,90.66486364660808
2022-01-12,85.22497182781159
2022-01-13,65.2787018255578
2022-01-14,65.2787018255578
2022-01-15,68.90529637142214
2022-01-16,67.09199909848998
2022-01-17,58.02551273382917
2022-01-18,89.758215010142
2022-01-19,75.2518368266847
2022-01-20,80.69172864548119
2022-01-21,65.2787018255578
2022-01-22,66.1853504620239
2022-01-23,63.46540455262564
2022-01-24,58.02551273382917
2022-01-25,77.97178273608293
2022-01-26,84.31832319134551
2022-01-27,80.69172864548119
2022-01-28,86.13162046427766
2022-01-29,46.23908045977012
2022-01-30,39.89254000450755
2022-01-31,66.1853504620239
2022-02-01,70.7185936443543
2022-02-02,66.1853504620239
2022-02-03,71.62524228082037
2022-02-04,64.37205318909173
2022-02-05,63.46540455262564
2022-02-06,48.95902636916836
2022-02-07,67.99864773495607
2022-02-08,55.305566824430926
2022-02-09,67.99864773495607
2022-02-10,64.37205318909173
2022-02-11,65.2787018255578
2022-02-12,64.37205318909173
2022-02-13,67.99864773495607
2022-02-14,78.87843137254902
2022-02-15,58.93216137029524
2022-02-16,57.11886409736309
2022-02-17,65.2787018255578
2022-02-18,73.43853955375255
2022-02-19,56.212215460897
2022-02-20,51.67897227856661
2022-02-21,90.66486364660808
2022-02-22,73.43853955375255
2022-02-23,48.95902636916836
2022-02-24,67.99864773495607
2022-02-25,64.37205318909173
2022-02-26,67.99864773495607
2022-02-27,51.67897227856661
2022-02-28,44.425783186837954
2022-03-01,61.65210727969348
2022-03-02,74.34518819021862
2022-03-03,58.02551273382917
2022-03-04,61.65210727969348
2022-03-05,59.838810006761335
2022-03-06,64.37205318909173
2022-03-07,74.34518819021862
2022-03-08,62.55875591615957
2022-03-09,73.43853955375255
2022-03-10,58.93216137029524
2022-03-11,48.95902636916836
2022-03-12,77.97178273608293
2022-03-13,54.39891818796485
2022-03-14,86.13162046427766
2022-03-15,62.55875591615957
2022-03-16,55.305566824430926
2022-03-17,74.34518819021862
2022-03-18,64.37205318909173
2022-03-19,88.85156637367591
2022-03-20,50.77232364210053
2022-03-21,65.2787018255578
2022-03-22,58.93216137029524
2022-03-23,72.53189091728646
2022-03-24,56.212215460897
2022-03-25,61.65210727969348
2022-03-26,68.90529637142214
2022-03-27,65.2787018255578
2022-03-28,81.59837728194728
2022-03-29,49.86567500563444
2022-03-30,64.37205318909173
2022-03-31,58.02551273382917
2022-04-01,48.95902636916836
2022-04-02,49.86567500563444
2022-04-03,49.86567500563444
2022-04-04,52.585620915032685
2022-04-05,51.67897227856661
2022-04-06,48.95902636916836
2022-04-07,50.77232364210053
2022-04-08,56.212215460897
2022-04-09,58.93216137029524
2022-04-10,50.77232364210053
2022-04-11,50.77232364210053
2022-04-12,65.2787018255578
2022-04-13,56.212215460897
2022-04-14,62.55875591615957
2022-04-15,59.838810006761335
2022-04-16,43.51913455037188
2022-04-17,80.69172864548119
2022-04-18,63.46540455262564
2022-04-19,38.07924273157539
2022-04-20,47.14572909623619
2022-04-21,55.305566824430926
2022-04-22,49.86567500563444
2022-04-23,46.23908045977012
2022-04-24,51.67897227856661
2022-04-25,63.46540455262564
2022-04-26,54.39891818796485
2022-04-27,35.35929682217715
2022-04-28,53.492269551498765
2022-04-29,38.98589136804146
2022-04-30,52.585620915032685
2022-05-01,43.51913455037188
2022-05-02,28.1061077304485
2022-05-03,25.386161821050266
