Date,cabai rawit
2022-01-01,50.99999999999999
2022-01-02,76.0
2022-01-03,86.0
2022-01-04,100.0
2022-01-05,100.0
2022-01-06,61.00000000000001
2022-01-07,54.0
2022-01-08,54.0
2022-01-09,62.0
2022-01-10,75.0
2022-01-11,67.0
2022-01-12,54.99999999999999
2022-01-13,69.0
2022-01-14,50.99999999999999
2022-01-15,32.0
2022-01-16,70.0
2022-01-17,49.00000000000001
2022-01-18,54.0
2022-01-19,60.00000000000001
2022-01-20,82.0
2022-01-21,38.0
2022-01-22,65.00000000000001
2022-01-23,57.99999999999999
2022-01-24,83.0
2022-01-25,65.00000000000001
2022-01-26,49.00000000000001
2022-01-27,50.99999999999999
2022-01-28,39.0
2022-01-29,54.0
2022-01-30,39.0
2022-01-31,73.0
2022-02-01,61.00000000000001
2022-02-02,49.00000000000001
2022-02-03,72.0
2022-02-04,30.000000000000004
2022-02-05,67.0
2022-02-06,65.00000000000001
2022-02-07,81.0
2022-02-08,62.99999999999998
2022-02-09,40.0
2022-02-10,65.00000000000001
2022-02-11,56.0
2022-02-12,44.0
2022-02-13,53.0
2022-02-14,61.00000000000001
2022-02-15,62.0
2022-02-16,70.99999999999999
2022-02-17,72.0
2022-02-18,78.99999999999999
2022-02-19,54.0
2022-02-20,65.00000000000001
2022-02-21,62.0
2022-02-22,52.0
2022-02-23,53.0
2022-02-24,70.0
2022-02-25,53.0
2022-02-26,50.0
2022-02-27,54.99999999999999
2022-02-28,69.0
2022-03-01,81.0
2022-03-02,53.0
2022-03-03,62.99999999999998
2022-03-04,57.99999999999999
2022-03-05,66.0
2022-03-06,54.99999999999999
2022-03-07,78.99999999999999
2022-03-08,72.0
2022-03-09,81.0
2022-03-10,66.0
2022-03-11,67.0
2022-03-12,67.0
2022-03-13,52.0
2022-03-14,57.99999999999999
2022-03-15,62.0
2022-03-16,60.00000000000001
2022-03-17,56.0
2022-03-18,97.0
2022-03-19,62.99999999999998
2022-03-20,61.00000000000001
2022-03-21,57.99999999999999
2022-03-22,80.0
2022-03-23,88.0
2022-03-24,75.0
2022-03-25,33.0
2022-03-26,45.00000000000001
2022-03-27,69.0
2022-03-28,61.00000000000001
2022-03-29,57.99999999999999
2022-03-30,62.0
2022-03-31,58.99999999999999
2022-04-01,80.0
2022-04-02,73.0
2022-04-03,69.0
2022-04-04,61.00000000000001
2022-04-05,54.0
2022-04-06,50.0
2022-04-07,50.0
2022-04-08,68.0
2022-04-09,54.99999999999999
2022-04-10,48.0
2022-04-11,48.0
2022-04-12,61.00000000000001
2022-04-13,57.99999999999999
2022-04-14,54.99999999999999
2022-04-15,65.00000000000001
2022-04-16,38.0
2022-04-17,45.00000000000001
2022-04-18,58.99999999999999
2022-04-19,50.99999999999999
2022-04-20,43.0
2022-04-21,48.0
2022-04-22,62.99999999999998
2022-04-23,42.0
2022-04-24,49.00000000000001
2022-04-25,58.99999999999999
2022-04-26,48.0
2022-04-27,45.00000000000001
2022-04-28,27.0
2022-04-29,32.0
2022-04-30,44.0
2022-05-01,0.0
2022-05-02,29.0
2022-05-03,28.0
2022-05-04,46.0
2022-05-05,38.0
2022-05-06,36.0
2022-05-07,46.0
2022-05-08,27.0
2022-05-09,41.0
2022-05-10,54.0
2022-05-11,47.0
2022-05-12,35.0
2022-05-13,27.0
2022-05-14,46.0
2022-05-15,58.99999999999999
2022-05-16,66.0
2022-05-17,70.0
2022-05-18,38.0
2022-05-19,36.0
2022-05-20,57.00000000000001
2022-05-21,54.0
2022-05-22,62.0
2022-05-23,46.0
2022-05-24,37.0
2022-05-25,52.0
2022-05-26,38.0
2022-05-27,53.0
2022-05-28,38.0
2022-05-29,45.00000000000001
2022-05-30,46.0
2022-05-31,56.0
2022-06-01,53.0
2022-06-02,58.99999999999999
2022-06-03,57.00000000000001
2022-06-04,68.0
2022-06-05,69.0
2022-06-06,68.0
2022-06-07,62.99999999999998
2022-06-08,64.0
2022-06-09,65.00000000000001
2022-06-10,70.0
2022-06-11,44.0
2022-06-12,53.0
2022-06-13,65.00000000000001
2022-06-14,49.00000000000001
2022-06-15,69.0
2022-06-16,80.0
2022-06-17,64.0
2022-06-18,54.0
2022-06-19,58.99999999999999
2022-06-20,57.99999999999999
2022-06-21,65.00000000000001
2022-06-22,54.99999999999999
2022-06-23,69.0
2022-06-24,57.00000000000001
2022-06-25,50.0
2022-06-26,45.00000000000001
2022-06-27,48.0
2022-06-28,66.0
2022-06-29,50.99999999999999
2022-06-30,54.0
