Date,minyak goreng
2022-01-01,3.0000000000000004
2022-01-02,3.0000000000000004
2022-01-03,4.0
2022-01-04,5.0
2022-01-05,5.0
2022-01-06,5.0
2022-01-07,5.0
2022-01-08,3.0000000000000004
2022-01-09,3.0000000000000004
2022-01-10,3.0000000000000004
2022-01-11,5.0
2022-01-12,4.0
2022-01-13,5.0
2022-01-14,4.0
2022-01-15,3.0000000000000004
2022-01-16,5.0
2022-01-17,5.0
2022-01-18,5.0
2022-01-19,42.00000000000001
2022-01-20,26.000000000000004
2022-01-21,15.000000000000002
2022-01-22,11.0
2022-01-23,9.000000000000002
2022-01-24,10.0
2022-01-25,9.000000000000002
2022-01-26,10.0
2022-01-27,8.0
2022-01-28,13.000000000000002
2022-01-29,14.0
2022-01-30,12.000000000000002
2022-01-31,11.0
2022-02-01,12.000000000000002
2022-02-02,10.0
2022-02-03,10.0
2022-02-04,9.000000000000002
2022-02-05,9.000000000000002
2022-02-06,9.000000000000002
2022-02-07,7.0
2022-02-08,9.000000000000002
2022-02-09,9.000000000000002
2022-02-10,10.0
2022-02-11,9.000000000000002
2022-02-12,9.000000000000002
2022-02-13,10.0
2022-02-14,12.000000000000002
2022-02-15,15.000000000000002
2022-02-16,14.0
2022-02-17,17.0
2022-02-18,17.0
2022-02-19,18.000000000000004
2022-02-20,16.0
2022-02-21,16.0
2022-02-22,16.0
2022-02-23,14.0
2022-02-24,11.0
2022-02-25,11.0
2022-02-26,12.000000000000002
2022-02-27,10.0
2022-02-28,11.0
2022-03-01,9.000000000000002
2022-03-02,11.0
2022-03-03,11.0
2022-03-04,10.0
2022-03-05,11.0
2022-03-06,9.000000000000002
2022-03-07,12.000000000000002
2022-03-08,11.0
2022-03-09,14.0
2022-03-10,12.000000000000002
2022-03-11,16.0
2022-03-12,14.0
2022-03-13,12.000000000000002
2022-03-14,16.0
2022-03-15,14.0
2022-03-16,100.0
2022-03-17,63.00000000000001
2022-03-18,39.00000000000001
2022-03-19,32.0
2022-03-20,25.0
2022-03-21,25.0
2022-03-22,23.000000000000004
2022-03-23,20.0
2022-03-24,17.0
2022-03-25,16.0
2022-03-26,14.0
2022-03-27,12.000000000000002
2022-03-28,12.000000000000002
2022-03-29,12.000000000000002
2022-03-30,13.000000000000002
2022-03-31,11.0
2022-04-01,11.0
2022-04-02,12.000000000000002
2022-04-03,11.0
2022-04-04,13.000000000000002
2022-04-05,13.000000000000002
2022-04-06,10.0
2022-04-07,11.0
2022-04-08,11.0
2022-04-09,11.0
2022-04-10,9.000000000000002
2022-04-11,10.0
2022-04-12,10.0
2022-04-13,11.0
2022-04-14,12.000000000000002
2022-04-15,10.0
2022-04-16,8.0
2022-04-17,7.0
2022-04-18,9.000000000000002
2022-04-19,15.000000000000002
2022-04-20,19.0
2022-04-21,15.000000000000002
2022-04-22,17.0
2022-04-23,11.0
2022-04-24,9.000000000000002
2022-04-25,9.000000000000002
2022-04-26,10.0
2022-04-27,10.0
2022-04-28,10.0
2022-04-29,9.000000000000002
2022-04-30,5.0
2022-05-01,4.0
2022-05-02,3.0000000000000004
2022-05-03,4.0
2022-05-04,3.0000000000000004
2022-05-05,4.0
2022-05-06,3.0000000000000004
2022-05-07,2.0
2022-05-08,3.0000000000000004
2022-05-09,5.0
2022-05-10,5.0
2022-05-11,6.000000000000001
2022-05-12,6.000000000000001
2022-05-13,6.000000000000001
2022-05-14,4.0
2022-05-15,4.0
2022-05-16,5.0
2022-05-17,6.000000000000001
2022-05-18,6.000000000000001
2022-05-19,6.000000000000001
2022-05-20,6.000000000000001
2022-05-21,6.000000000000001
2022-05-22,5.0
2022-05-23,6.000000000000001
2022-05-24,7.0
2022-05-25,8.0
2022-05-26,5.0
2022-05-27,5.0
2022-05-28,6.000000000000001
2022-05-29,5.0
2022-05-30,5.0
2022-05-31,6.000000000000001
2022-06-01,5.0
2022-06-02,5.0
2022-06-03,4.0
2022-06-04,5.0
2022-06-05,4.0
2022-06-06,6.000000000000001
2022-06-07,4.0
2022-06-08,4.0
2022-06-09,4.0
2022-06-10,4.0
2022-06-11,3.0000000000000004
2022-06-12,3.0000000000000004
2022-06-13,4.0
2022-06-14,5.0
2022-06-15,5.0
2022-06-16,4.0
2022-06-17,5.0
2022-06-18,3.0000000000000004
2022-06-19,3.0000000000000004
2022-06-20,4.0
2022-06-21,3.0000000000000004
2022-06-22,5.0
2022-06-23,4.0
2022-06-24,3.0000000000000004
2022-06-25,5.0
2022-06-26,4.0
2022-06-27,6.000000000000001
2022-06-28,5.0
2022-06-29,6.000000000000001
2022-06-30,4.0
2022-07-01,4.0
2022-07-02,5.0
2022-07-03,3.6816675761213578
2022-07-04,3.432906253410456
2022-07-05,3.9304288988322607
2022-07-06,4.6269606024227885
2022-07-07,3.4826585179526366
2022-07-08,4.378199279711885
2022-07-09,3.631915311579178
2022-07-10,2.437860962566845
2022-07-11,3.432906253410456
2022-07-12,4.029933427916622
2022-07-13,4.975226454218052
2022-07-14,4.726465131507149
2022-07-15,4.378199279711885
2022-07-16,3.9304288988322607
2022-07-17,3.781172105205719
2022-07-18,3.7314198406635386
2022-07-19,4.726465131507149
2022-07-20,4.129437957000983
2022-07-21,4.278694750627524
2022-07-22,4.029933427916622
2022-07-23,3.5821630470369974
2022-07-24,3.781172105205719
2022-07-25,4.079685692458803
2022-07-26,4.776217396049329
2022-07-27,3.8309243697479
2022-07-28,3.781172105205719
2022-07-29,3.532410782494817
2022-07-30,2.736374549819929
2022-07-31,3.432906253410456
2022-08-01,3.8309243697479
2022-08-02,4.726465131507149
2022-08-03,4.328447015169705
2022-08-04,3.631915311579178
2022-08-05,3.134392666157373
2022-08-06,2.7861268143621087
2022-08-07,2.985135872530831
2022-08-08,3.8309243697479
2022-08-09,4.527456073338427
2022-08-10,4.228942486085344
2022-08-11,3.333401724326094
2022-08-12,3.432906253410456
2022-08-13,3.034888137073012
2022-08-14,3.5821630470369974
2022-08-15,3.8309243697479
